Stop
1. BADAR PUR  BORDER 2. BADAR PUR 3. ALI VILLAGE 4. SARITA VIHAR CROSSING 5. KALINDI KUNJ  6.YAMUNA BRIDGE EAST CHECK POST 7. MAHAMAYA FLYOVER WEST 8. AMITY SCHOOL 9. NOIDA SEC-37 10. NOIDA SEC-43 POLICE CHOKI SADAR PUR 11. AGHA PUR VILLAGE 12. BAROLA VILLAGE 13. HINDON VIHAR MORE 14.SARIN FARM 15. SADAR PUR VILLAGE 16. NOIDA SEC-82 MORE 17. HOUSARY COMPLEX PETROL PUMP 18. NOIDA PH-II 19. NOIDA PH-II PHOOL MANDI
1. NEHRU PLACE TERMINAL 2. PUNJ SONS 3. CROWN PLAZA  4. SARITA VIHAR CROSSING 5. KALINDI KUNJ  6.YAMUNA BRIDGE EAST CHECK POST 7. MAHAMAYA FLYOVER WEST 8. AMITY SCHOOL 9. NOIDA SEC-37 10. POLICE CHOWKI SADAR PUR 11. AGHA PUR VILLAGE 12. BAROLA VILLAGE 13. HINDON VIHAR MORE 14. SARIN FARM 15. SADAR PUR VILLAGE 16. NOIDA SEC-82 MORE 17. HOUSARY COMPLEX PETROL PUMP 18. NOIDA PH-II 19. NOIDA PH-II PHOOL MANDI
1 OLD DELHI RAILWAY STATION 2. TIS HAZARI ANIMAL HOSPITAL / ISBT K. gATE 3. ICE FACTORY 4. CLOCK TOWER 5. R.P. BAGH 6. BARA BAGH 7. ADARSH NAGAR 8. GTK DEPOT 9.. LIBAS PUR GT ROAD. 10. NANGLI POONAM 11. BUDH PUR 12. ALIPUR  13. BAKOULI CROSSING 14. BAKHTAWER PUR SCHOOL 15. BAKHTAWER PUR VILLAGE 16. RAMJAN PUR VILLAGE
1. NIZAMUDDIN RAILWAY STATION 2. P.S. NIZAMUDDIN 3. JLN STADIUM (S. PULLAH NALLAH)  4. LODHI ROAD CROSSING 5. PRITHVIRAJ ROAD 6. NIRMAN BHAWAN 7. KRISHI BHAWAN 8. REGAL 9. ND RAILWAY STATION GATE-I  10. P.S.PAHAR GANJ 11. .P.S. SADAR BAZAR  12.  ICE FACTORY  13. MALKA GANJ  14. RP BAGH  15. BARA BAGH  16. ADARSH NAGAR. 17. JAHANGIR PURI E-BLK.
1. PALIKA  KENDRA 2. ND RAILWAY STATION GATE-I  3. P.S.PAHAR GANJ 4. P.S. SADAR BAZAR 5.  ICE FACTORY 6. CLOCK TOWER 7. RP BAGH 8. BARA BAGH 9. ADARSH NAGAR. 10. JAHANGIR PURI E-BLK.
1. JAMA MASJID 2. DELHI GATE 3. AJMERI GATE 4. P.S. PAHAR GANJ 5. G.G.S. MARG CROSSING 6. ICE FACTORY 7. MALKA GANJ 8. R.P. BAGH 9. MODEL TOWN-II 10. ADARSH NAGAR 11. JAHANGIR PURI E-BLOCK
1. DR.MUKHERJEE NAGAR BANDH 2. GTB NAGAR (HAKIKAT NAGAR)  3 OLD SECTT. 4. ISBT KASHMERE GATE  5. RED FORT 6. DELHI GATE 7. SUPREME COURT 8. SHAHJAHAN RD 9. BHARTI NAGAR 10. LODHI COLONY 11. SEWA NAGAR RLY CROSSING.
1. BHAJAN PURA 2. C-4 YAMUNA VIHAR 3.  BABAR PUR EXT.4. DURGA PURI CHOWK  5.NAND NAGRI DEPOT 6. ANAND GRAM 7. SEEMA PURI 8. SURYA NAGAR 9. ANAND VIHAR ISBT 10. NHW CROSSING 11. KALYAN PURI CROSSING 12. DALLU PURA 13. MAYUR VIHAR PH-3 MORE 14. NOIDA SEC 12 A-BLK 15. NOIDA SEC-56 16. NOIDA SEC- 12 CHORA MORE 17. NOIDA SEC-10/21 18. NOIDA SEC-19 TELEPHONE EXCHANGE 19.  NOIDA SECTOR-27 MARKET 20. VISHWA BHARTI SCHOOL 21. ATTA CHOWK 22. NOIDA SEC. 28/29  23.  NOIDA SEC-37. 24. NOIDA SECTOR-43 (POLICE CHOWKI SADAR PUR)
1. BHAJAN PURA 2. C-4 YAMUNA VIHAR 3.  NAND NAGRI DEPOT 4. ANAND GRAM 5. SEEMA PURI 6. SURYA NAGAR 7. ANAND VIHAR TERMINAL 8. NHW CROSSING 9. KALYAN PURI CROSSING 10. DALLU PURA 11. MAYUR VIHAR PH-3 MORE 12. NOIDA SEC 12 A-BLK 13. NOIDA SEC-56 14. NOIDA SEC- 12 CHORA MORE 15. NOIDA SEC-10/21 16. NOIDA SEC-19 TELEPHONE EXCHANGE 17.  NOIDA SECTOR-27 MARKET 18. VISHWA BHARTI SCHOOL 19. ATTA CHOWK 20. NOIDA SEC. 28/29  21.  NOIDA SEC-37. 22. NOIDA SECTOR-43 (POLICE CHOWKI SADAR PUR) 23. AAGA PUR VILLAGE 24. BARULA VILLAGE  25. MAYUR VIHAR MORE 26. SAINIK FARM 27. SADA PUR VILLAGE 28. NOIDA SEC. 82 MORE 29. HOSIERY COMPLEX PATROL PUMP 30. NOIDA PHASE-2 PHOOL MANDI
1.  BADAR PUR KHADAR SAINK NO.-27  2.  TRONIKA CITY GATE NO-1 3.  CHAUHAN PATTI 4.  SONIA VIHAR F-BLOCK 5.  NANAKSAR 6.  BHAJAN PURA 7.  C-4 YAMUNA VIHAR 8. NAND NAGARI DEPOT 9. ANAND GRAM 10.  SEEMA PURI 11.  SURYA NAGAR 12. ANAND VIHAR ISBT 13. NHW-24 CROSSING 14. KALYAN PURI CROSSING 15. DALLU PURA 16. MAYUR VIHAR PH-3 MORE 17. NOIDA SEC-12 A-BLK. 18. NOIDA SEC-56 19. NOIDA SEC-12 CHORA MORE 20. NOIDA SEC-10/21 21. TELEPHONE EXCHANGE SEC-19  22  NOIDA SEC-27 MARKET  23 VISHWA BHARTI SCHOOL 24.  ATTA CHOIWK  25. NOIDA SEC. 28/29 26. NOIDA SEC-37 27.  NOIDA SECTOR-43 (POLICE CHOWKI SADAR PUR)
